ÜRÜN,ÖLÇÜ,GÖRSEL,FİYAT,
Fun Fendi Sofa,TRUE,TRUE,TRUE,
B&B Italia Atoll Sofa,TRUE,TRUE,TRUE,
Flexform Grounpiece Sofa,TRUE,TRUE,TRUE,"**Ürün Caja ya gönderildi, Take it out of the list"
Gallotti Radice Evolis  Sofa ,TRUE,TRUE,TRUE,
Gallotti Radice Evolis Next Sofa,TRUE,TRUE,TRUE,
Gallotti Radice Stami Sofa,TRUE,TRUE,TRUE,
Edra Cipria Sofa,TRUE,TRUE,TRUE,
Cassina Cornaro Sofa,TRUE,TRUE,TRUE,
Andreu World Mariya Sofa,TRUE,TRUE,TRUE,**Ürünün ölçü kısmında 2 adet yazıyor ama sofadan 1 adet var 
Andreu World Mariya Armchair,TRUE,TRUE,TRUE,"**Üründen 2 adet var, 2 adet fiyatı olduğunu yazalım"
Knoll Womb Sette,TRUE,TRUE,TRUE,
Flexform Gregory Sofa,TRUE,TRUE,TRUE,
Flexform Zeus Sofa,TRUE,TRUE,TRUE,"**Ürün Caja ya gönderildi, Take it out of the list"
Flexform Supermax Sofa,,,,**take it out of the list
Vitra Polder Compact Sofa,TRUE,TRUE,TRUE,
Carl Hansen Sofa,,TRUE,TRUE,
Promemoria Komodo Daybed,FALSE,TRUE,TRUE,**Ölçü: 206x102cm H:40/72cm _ MEASUREMENTS
Vitra Abalon Sofa,,TRUE,TRUE,**Ölçü: 218x90cm H:110cm MEASUREMENTS
Knoll Klismos Daybed,TRUE,TRUE,TRUE,**Ölçü: 155x85cm H:87cm MEASUREMENTS
Maxalto Febo Daybed,,TRUE,TRUE,
Knoll Barcelona Chair,TRUE,TRUE,TRUE,
Ceccotti Pigra Armchair & Ottoman,TRUE,TRUE,TRUE,
Cassina Feltri Armchair,,,,**take it out of the list
Zanotta Gilda Armchair,TRUE,TRUE,TRUE,
Living Divani Greene Armchair,TRUE,TRUE,TRUE,TAKE İT OUT OF THE LİST
Flexform Magnum Armchair,,TRUE,TRUE,**Ölçü:90x95cm H:64cm MEASUREMENTS
Flexform Ortigia S.H. Armchair,TRUE,TRUE,TRUE,**İndirimli 2 adet fiyatı yazıyor ama ikisi farklı renk tek tek satıyoruz
Flexform Ortigia Armchair,TRUE,TRUE,TRUE,**2 adet satılıyor PRICE FOR TWO
Flexform Ortigia Armchair Without Armrest,TRUE,TRUE,TRUE,TAKE İT OUT OF THE LİST
Santa&Cole Digamma Armchair,TRUE,TRUE,TRUE,TEK ADET FİYATI
Walter Knoll Isanka Pouf,TRUE,TRUE,TRUE,
Fendi Casa Icaro Table,,TRUE,TRUE,**Ölçü 300xx110cm H:75cm MEASUREMENTS
Maxalto Lucullo Table,,TRUE,TRUE,**Ölçü: 290x110cm H:74cm MEASUREMENTS
Gallotti Radice Haumea Table,TRUE,TRUE,TRUE,
MDF Italia NVL Table,TRUE,TRUE,TRUE,
B&B Italia Hans Table,TRUE,GÖRSEL KONULMAMIŞ,TRUE,
Moooi Two Tops Table,TRUE,TRUE,TRUE,
Vitra EM Table,FALSE,TRUE,TRUE,**Ölçü:240x90cm H:74cm MEASUREMENTS
Vitra EM Table,TRUE,TRUE,TRUE,
Cassina 9 Oval Lounge Table,TRUE,TRUE,TRUE,
USM Kitos Table,TRUE,TRUE,TRUE,
B&B Italia Pianura Coffee Table,,TRUE,TRUE,**Ölçü:130x130cm H:49cm MEASUREMENTS
B&B Italia Tobi Ishı Coffee Table,TRUE,TRUE,TRUE,TAKE İT OUT OF THE LİST
Flexform Pico Small Table,TRUE,TRUE,TRUE,
Maxalto Alcor Coffee Table,,FALSE,TRUE,**Ölçü: 180x130cm H:38cm measurements
B&B Italia Area Coffee Table,TRUE,TRUE,TRUE,
Maxalto Xilos Coffee Table,TRUE,TRUE,TRUE,TAKE İT OUT OF THE LİST
Walter Knoll Ishına Coffee Table,TRUE,TRUE,TRUE,
Vitra Eames Coffee Table,,TRUE,TRUE,**Ölçü: 76x76cm H:39cm measurements
Flexform Plain Side Table,,GÖRSEL KONULMAMIŞ,TRUE,**Ölçü:34x43cm H:53cm measurements
Classicon Pli Side Table,TRUE,TRUE,TRUE,
Maxalto Elios Round Small Table,FALSE,TRUE,FALSE,"Ürün markası B&B değil, ölçü:Ø35cm H:47cm fiyat:1044 Eurodan 575 Euroya düştü (1 adet için)"
B&B Italia Planck Small Table,TRUE,GÖRSEL KONULMAMIŞ,TRUE,
Cassina Bed Side Coffee Table,TRUE,TRUE,TRUE,
